"Order#","Date","Subject(s)","Color","Negatives","Prints","Slides","Department","Remarks"
"34288","25631","Parks and activities","B&W","15 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"34340","25633","Expanded Nutrition Education Program (ENEP) - Eastside office and home visits","B&W","11 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"34375","25637","Girls at Osborne School Self Improvement Course & Juvenile Hall","B&W","53 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","None"
"34380","25637","Art objects [sculptures] & Schools","B&W","33 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"34419","25639","Bohlman Road, Saratoga","B&W","29 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"34428","25639","Dr. Glenn W. Hoffmann, Superintendent of Schools, with clean air car & Schools - Administration","B&W","19 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"34431","25639","Aerial photographs of airport & Reid-Hillview Airport","B&W","21 (Size: 35mm; 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"34432","25639","Art objects [sculptures] & Schools","B&W","15 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","Copies of slides"
"34466","25643","Exterior of Administration Building","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"34610","25650","Indian [Native American] mural & Schools","B&W","6 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"34576","25651","Meeting with administrators and high school & junior college state director Leslie Smith & Schools - Administration","B&W","63 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"34527","25657","Food demonstration for Expanded Nutrition Education Program (ENEP)","B&W","9 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"34680","25657","Food demonstration for Expanded Nutrition Education Program (ENEP)","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"34681","25657","Food demonstration for Expanded Nutrition Education Program (ENEP)","B&W","5 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"G0171","25657","Exterior of Valley Medical Center & Hospitals","Color","0 (Size: N/A)","0 (Size: N/A)","1 (Size: 120)","Office of the County Executive","Slide is not mounted"
"34653","25658","Exterior of Administration Building","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"34747","25660","Area where house is to be moved","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"34774","25664","Groundbreaking ceremony of Central Migrant Camp","B&W","19 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Housing Authority","None"
"34828","25666","Strawberry fields and pickers & Agriculture","B&W","19 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"34868","25666","Expanded Nutrition Education Program (ENEP) group meeting in private home","B&W","15 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"34869","25666","Installation errors on a tailgate lift of a truck","B&W","16 (Size: 120; 4x5)","0 (Size: N/A)","0 (Size: N/A)","Purchasing Department","None"
"34903","25668","Sam P. Della Maggiore Center for the Retarded (for dedication brochure)","B&W","18 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"34953","25672","Flood Control employee at desk","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Flood Control","Copy of photograph"
"34979","25672","Presentation of refund check from insurance company for safety record","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Flood Control","None"
"35034","25675","Drug abuse program at DeVargas School & Elementary schools","B&W","29 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"35043","25675","Expanded Nutrition Education Program (ENEP) group meeting","B&W","5 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35083","25679","Dr. Glenn W. Hoffmann, Superintendent of Schools, with two other men & Schools - Administration","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"35089","25679","Award plaque for airport manager of the year & Reid-Hillview Airport","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35100","25680","Construction of airplane and buildings at airport (for annual report)","B&W","20 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35102","25680","Expanded Nutrition Education Program (ENEP) teenage group meeting","B&W","11 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35103","25680","Expanded Nutrition Education Program (ENEP) teenage group meeting","B&W","4 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35146","25682","Expanded Nutrition Education Program (ENEP) youth group meeting","B&W","5 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35159","25685","Two Flood Control employees at desk","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Flood Control","None"
"35171","25685","Airplane being sold by Sheriff Department & Reid-Hillview Airport","B&W","8 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35238A","25688","Aerial photographs of Palo Alto Airport","B&W","17 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35238B","25688","Aerial photographs of Reid-Hillview Airport","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35249","25689","Various county roads","B&W","13 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35330","25696","Clay Wadleigh and five women around table & Schools","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Space Program","None"
"35387","25702","Girls after completion of charm course at Muriel Wright Residential Center Girls Ranch","B&W","71 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","None"
"35411","25702","Chinese art objects & Schools","B&W","29 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"35418","25708","Road repair and maintenance","B&W","16 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35452","25708","Construction progress of terminal building & Reid-Hillview Airport","B&W","9 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35559","25713","Pavement in front of Eastside Health building & Roads","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35648","25717","Construction progress of terminal building & Reid-Hillview Airport","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"35807","25717","Fifth grade girls at Hubbard School cooking class & Elementary schools","B&W","16 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35702","25722","Tally board","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","General Services Agency - Building Operations / Services","None"
"35760","25728","Road maintenance","B&W","6 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35804","25729","Park scenes","B&W","36 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","None"
"35807","25730","Fifth grade girls at Hubbard School cooking class & Elementary schools","B&W","3 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35814","25730","Car and truck in an accident","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","Copies of photographs"
"35825","25730","Students and teachers with drawing & Elementary schools","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"35831","25731","Identification photograph of Steve Carlson, #7955 & Schools","B&W","3 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","Includes contact prints"
"35871","25734","Various county roads","B&W","13 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"35878","25735","Three unidentified houses","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","Copies of slides"
"35919","25738","Presentation of awards to five members of the Expanded Nutrition Education Program (ENEP)","B&W","4 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"35953","25742","Board members (for annual report) & Schools - Administration","B&W","10 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"35346","25743","Interior and exterior of the Sam P. Della Maggiore Center for the Retarded","B&W","14 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"36033","25749","Various county roads","B&W","21 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"36041","25749","Film inspection (for annual report) & Schools","B&W","3 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Audio Visual","None"
"36060","25750","Spray rig (for university publication) & Agriculture","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"36096","25752","Board meeting with members and Dr. Glenn W. Hoffmann, Superintendent of Schools & Schools - Administration","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"36156","25755","Construction progress of terminal building & Reid-Hillview Airport","B&W","10 (Size: 4x5)","10 (Size: 4x5)","0 (Size: N/A)","Reid-Hillview Airport","None"
"36206","25758","Meeting in room #102 at 20 W. Hedding Street, San Jose & County Government Center","B&W","30 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"34947","25763","Little girl in front of doorway","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","Copy of photograph"
"36315","25764","Aerial photographs of construction progress of terminal building & Reid-Hillview Airport","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"36329","25765","Construction progress of terminal building & Reid-Hillview Airport","B&W","12 (Size: 4x5)","12 (Size: 4x5)","0 (Size: N/A)","Reid-Hillview Airport","None"
"36363","25769","Airplane crash & Reid-Hillview Airport","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","None"
"36423","25771","Trench exposing roots and soil; Tacks Greenhouse sign & Agriculture","B&W","18 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"36451","25772","Gasoline pump at service station","B&W","9 (Size: 620)","0 (Size: N/A)","0 (Size: N/A)","Division of Weights and Measures","None"
"36504","25776","Building site and house in different locations","B&W","9 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"36508","25777","Central Mental Health Center (taken from roof of Health Department and County Hospital) & Valley Medical Center","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Health Department","None"
"36519","25778","Young children cooking, Expanded Nutrition Education Program (ENEP)","B&W","9 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"36584","25783","Portrait of Mary Frances Wines - county school board member & Schools - Administration","B&W","4 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","School Department","None"
"36600","25785","Students in classroom and outside & Schools","B&W","45 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","Copies of slides"
"36613","25785","Mason property, Morgan Hill","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"36706","25791","Portrait of an unidentified man","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Housing Authority","None"
"36849","25800","Board of Supervisors at work (for annual report)","B&W","23 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"36905","25805","Coring operation on W. San Carlos Street & Roads","B&W","17 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"36933","25807","Project Share & Schools","B&W","152 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"36939","25808","Aerial photographs of rural area of the county (foothills)","B&W","115 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"36996","25812","Profile portrait of Mr. Holt & Schools - Administration","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37054","25815","Group of children planting a garden","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"37160A","25826","Aerial photographs of Palo Alto Airport","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Palo Alto Airport","None"
"37160B","25826","Aerial photographs of Reid-Hillview Airport","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","Copies of photographs"
"37162","25826","Board of Supervisors at work","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"37168","25827","Edward Reith, Employee Relation Representative # 8803","B&W","0 (Size: N/A)","4 (Size: 4x5)","0 (Size: N/A)","Personnel Department","None"
"37179A","25828","Work done by dredge (Series A)","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37179B","25828","Work done by dredge (Series M)","B&W","16 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37204","25828","Various trams & Transportation","B&W","9 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37223","25829","Several children planting a garden & Agriculture","B&W","12 (Size: 126)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"37239","25832","Publicity photographs of Howard Watkins and Jim Pott","B&W","5 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37268","25833","Retirement party for George Jewell","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37269","25833","Construction progress of County Service Center on Schallenberger Road, San Jose","B&W","6 (Size: 120)","6 (Size: 3.5x5)","0 (Size: N/A)","Department of Public Works","None"
"37338","25840","Portrait of John Satterstom, assistant to Dr. Glenn W. Hoffmann, Superintendent of Schools & Schools - Administration","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37374","25841","Marine Science Institute & Schools","B&W","36 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","Copies of slides"
"37410","25843","Group of children planting a garden","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","Copies of slides"
"37431","25843","Mrs. Jackie Carter and others with film projector at Leigh High School & High schools","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37475","25847","Buses, trains, and trams & Transportation","B&W","31 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37487","25847","buildings at Stanford University","B&W","40 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the District Attorney","None"
"37514","25849","Mrs. Wright and Frank Cress with children at CAR Swim Center & Elementary schools","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37523","25849","4-H Club members and Board of Supervisors members, Supervisor Calvo, et cetera & Agriculture","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"37533","25850","Display maps of Almaden Expressway, Hillsdale Avenue, and Curtner Avenue in Board of Supervisors auditorium & Roads","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37627","25856","Fisher Modeling School - 15 girls","B&W","11 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"37631","25856","Dr. Glenn W. Hoffmann, Superintendent of Schools, office with colleagues and award & Schools - Administration","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37630","25861","Mount Hamilton","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37819","25861","Living room & Legal aid","B&W","8 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the Public Defender","None"
"37834","25874","Air and water pollution","B&W","15 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Planning Department","Copies of slides"
"37836","25874","Portrait of B. E. Small","B&W","4 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Civil Defense Office","None"
"37842","25874","Portraits of School Department Planning and Evaluation members & Schools - Administration","B&W","28 (Size: 120; 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"37849","25876","Decorated bus for Yes on Proposition A & Transportation","B&W","4 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37856","25876","Adults in workshop with film equipment & Schools","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - TV Station","None"
"37858","25877","Construction work at Santa Clara City Hall","B&W","20 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37897","25881","Water damage on the ceiling in an old section of County Hospital & Valley Medical Center","B&W","16 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"37947","25884","Aerial photographs of airport & Reid-Hillview Airport","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Reid-Hillview Airport","Copies of photographs"
"38009","25888","Planting of shrubs along Foothill Expressway & Roads","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38134","25895","Portrait of Ted Moniz, Agricultural Commissioner","B&W","10 (Size: 4x5)","10 (Size: 4x5)","0 (Size: N/A)","Agricultural Commissioner","None"
"38135","25895","Alviso - South Bay Yacht Club, grocery store, warehouse by boat yard","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","N/A","None"
"38197","25902","Campus buildings","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","Copies of slides"
"38275","25906","Years of Service Awards","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","General Services Agency - Building Operations / Services","None"
"38277","25906","Portrait of Alfred E. Carlson, Principle Appraiser","B&W","5 (Size: 4x5)","1 (Size: 4x5)","0 (Size: N/A)","Office of the Assessor","None"
"38318","25910","Probation department - William F. James / Harold Holden Boys Ranch","B&W","7 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","Copies of slides"
"38376","25912","Two girls in library","B&W","8 (Size: 4x5)","2 (Size: 4x5)","0 (Size: N/A)","Office of the County Executive","None"
"38381","25913","Traffic sight distances near El Monte Avenue & Roads","B&W","15 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38406","25916","Four students with film projector & Schools","B&W","4 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38425","25918","Food Fair at Alviso School, room #7","B&W","17 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"38436","25919","Fence along pedestrian walkway over expressway & Roads","B&W","3 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","Copies of photographs"
"38449","25920","Dr. Glenn W. Hoffmann, Superintendent of Schools, and three Indians [Native Americans] & Schools - Administration","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38450","25920","Construction progress of court rooms on fourth floor of Municipal Court building at 200 W. Hedding Street, San Jose","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38463","25920","Swearing in of seven judges & Courts","B&W","7 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Jury Commissioner","None"
"38475","25920","Pedestrian walkway over expressway & Roads","B&W","10 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38488","25924","Marine truck picking up toys for tots that have been repaired by students at Osborne School & Juvenile Hall","B&W","10 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Juvenile Court","None"
"38490","25924","Portraits of J. Carter, Bill Harris, and Norma Eason & Schools - Administration","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department - Vocational and Guidance","None"
"38492","25925","Fill used at Sunnyvale dump","B&W","16 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38493","25925","Eastside Expanded Nutrition Education Program (ENEP) office","B&W","11 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"38503","25925","Clothes donated to Children's Shelter by hospital employees","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"G0475","25926","Views from Skyline Boulevard","Color","0 (Size: N/A)","0 (Size: N/A)","80 (Size: 35mm)","Planning Department","Slides stored in Box 3"
"12661","25934","Portrait of Jim Pott","B&W","0 (Size: N/A)","4 (Size: 5x7; 8x10)","0 (Size: N/A)","Department of Public Works","Prints stored in Box 1"
"38596","25939","Harold Rosen, Personnel Director","B&W","1 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Personnel Department","Copy of photograph"
"38619","25941","Teletype and microfiche at library","B&W","9 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"38621","25941","Children with adults in a class","B&W","4 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"38744","25948","Scene of bike accident on road near Los Altos Hills","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38790","25953","Career day at Branham High School & Schools - Vocational guidance","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Vocational and Guidance","None"
"38792","25953","Retaining wall that has fallen along E. Alta Vista Way & Roads","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38794","25953","Swearing in of 1971 Grand Jury & Courts","B&W","9 (Size: 120; 4x5)","0 (Size: N/A)","0 (Size: N/A)","Jury Commissioner","None"
"38816","25954","Meeting / presentation that was being broadcast & Schools","B&W","30 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38833","25955","Lockheed Industry Education meeting & Schools - Vocational guidance","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Vocational and Guidance","None"
"38855","25959","Expressway & Roads","B&W","15 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38858","25959","Mechanical room a top a building (air conditioning, heating, pipes, et cetera )","B&W","12 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38908","25965","E. Alta Vista Way, Eastside Road","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"38941","25967","Completed locks on levee at Palo Alto tide basin","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Engineering","None"
"38960","25967","Meeting/presentation that was being broadcast & Schools","B&W","30 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department - KTEH","Copies of slides"
"38961","25967","Meeting/presentation that was being broadcast & Schools","B&W","16 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","Copies of slides"
"38996","25969","Aerial photographs of Vocational Center on Hillsdale & Schools - Vocational guidance","B&W","1 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38997","25969","Cupertino TV station - Cupertino High School & High schools","B&W","11 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38998","25969","Vocational center - students working on projects & Schools - Vocational guidance","B&W","30 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"38989","25972","Superior Court, V.M.C., Vocational Services, and Mental Health buildings (for movie assignment) & Schools","B&W","32 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","School Department - KTEH","None"
"39026","25972","Aerial photographs of levee at Palo Alto tide basin","B&W","5 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Engineering","None"
"39038","25972","Film festival at Campbell High School and West Valley College & High schools","B&W","114 (Size: 35mm; 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - KTEH","None"
"39039","25972","Aerial photographs of county quarry","B&W","15 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"39068","25974","Damaged slab inside penthouse on roof of County Jail","B&W","6 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"39071","25974","House and street","B&W","4 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","Copies of photographs"
"39074","25974","Peter Burnett Junior High School - five adults & Junior high schools","B&W","5 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"39078","25974","Second grade students and teacher & Elementary schools","B&W","9 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"39093","25975","Campbell emergency response units - police, fire, and ambulance (for Communications annual report)","B&W","34 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"38906","25982","People at Blind Center","B&W","34 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"39156","25982","Saratoga High School - three people at industrial fair & High schools","B&W","8 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Vocational and Guidance","None"
"39183","25982","Exterior of Administration Building","B&W","8 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"39195","25983","Students working on projects & High schools","B&W","18 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"39247","25988","Campbell police officer with motorcycle (for Communications annual report)","B&W","16 (Size: 35mm)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","None"
"39272","25993","Retirement luncheon (J. Cooney)","B&W","48 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Commissioner","None"
"39276","25993","Mount Pleasant High School and James Lick High School students working on film projects & High schools","B&W","21 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Vocational and Guidance","None"
"39309","25995","Planting of shrubs along Capitol Expressway at corner of Bluefield Drive and Lanfair Circle & Roads","B&W","18 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Department of Public Works","None"
"39363","25997","Promotion of fifty Expanded Nutrition Education Program (ENEP) people","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","Agricultural Cooperative Extension","None"
"39405","26001","E.M.R. girls - starting Fisher Charm Course & Schools - Special education","B&W","17 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Special Education","None"
"39408","26001","Students in classroom at Cumberland school & Elementary schools","B&W","20 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - KTEH","None"
"39460","26007","Markham Junior High School students, teachers, and projects & Junior high schools","B&W","12 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"39461","26007","Gilroy High School - teachers and student with projects & High schools","B&W","57 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department","None"
"39466","26007","Aerial view illustration of 70 W. Hedding Street, San Jose & County Government Center","B&W","2 (Size: 4x5)","0 (Size: N/A)","0 (Size: N/A)","Office of the County Executive","Copy"
"39510","26009","E.M.R. girls at Fisher Charm School & Schools - Special education","B&W","6 (Size: 120)","0 (Size: N/A)","0 (Size: N/A)","School Department - Special Education","None"
