"Gender","Ethnicity","EEO4 Description","EEOP Job Group Description","Department  ","EEO Function","Age","Employment Status"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","VALLEY HEALTH PLAN","Health","40-49","Classified Permanent"
"Male","White","Service Maintenance","Service Maintenance","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Not Specified","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Black/African American","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","40-49","Classified Permanent"
"Female","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","FACILITIES","Financial Administration","50-59","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","70 or older","Unclassified Extra Help"
"Female","White","Administrative Support","Administrative Support","SHERIFF'S OFFICE","Police Protection","40-49","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","60-69","Classified Permanent"
"Male","Hispanic/Latino","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","COUNTY COMMUNICATIONS","Police Protection","30-39","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","40-49","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","Not Specified","Service Maintenance","Service Maintenance","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Black/African American","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Administrative Support","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Unclassified Benefits"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Male","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Two or More Races","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","White","Technicians","Technicians","ROADS DEPARTMENT","Streets and Highways","50-59","Classified Permanent"
"Female","Two or More Races","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Benefits"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","50-59","Classified Permanent"
"Male","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","CONTROLLER - TREASURER","Financial Administration","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","ASSESSOR","Financial Administration","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","EMPLOYEE SERVICES AGENCY","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","COUNTY COUNSEL","Financial Administration","40-49","Classified Permanent"
"Male","Black/African American","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","White","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","Asian","Officials and Administrators","Officials and Adminstrators","COUNTY EXECUTIVE","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","PUBLIC HEALTH DEPARTMENT","Health","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Professionals","Professionals","CUSTODY HEALTH SERVICES","Health","50-59","Classified Permanent"
"Female","Asian","Paraprofessionals","Administrative Support","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Male","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","40-49","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","60-69","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Unclassified Extra Help"
"Male","White","Skilled Craft Workers","Skilled Craft","FACILITIES","Financial Administration","70 or older","Classified Permanent"
"Male","Two or More Races","Paraprofessionals","Administrative Support","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","SHERIFF'S OFFICE","Police Protection","50-59","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","PARKS & RECREATION","Natural Resources","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Two or More Races","Skilled Craft Workers","Skilled Craft","FACILITIES","Financial Administration","60-69","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","REGISTRAR OF VOTERS","Other","70 or older","Unclassified Extra Help"
"Female","Not Specified","Paraprofessionals","Technicians","AGRICULTURE & ENVIRON MGMT","Natural Resources","50-59","Classified Permanent"
"Male","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","Not Specified","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","White","Officials and Administrators","Officials and Adminstrators","PLANNING & DEVELOPMENT","Community Development","60-69","Classified Permanent"
"Male","American Indian/Alaska Native","Skilled Craft Workers","Skilled Craft","PARKS & RECREATION","Natural Resources","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","DEPT OF CHILD SUPPORT SERVS","Other","50-59","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","30-39","Classified Permanent"
"Female","Asian","Technicians","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Male","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","ASSESSOR","Financial Administration","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SHERIFF'S OFFICE","Police Protection","50-59","Classified Probationary"
"Female","Not Specified","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","Not Specified","Protective Service Workers","Protective Services - Sworn","PROBATION DEPARTMENT","Corrections","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","BEHAVIORAL HEALTH SERVICES","Health","40-49","Classified Permanent"
"Male","Two or More Races","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","CONTROLLER - TREASURER","Financial Administration","60-69","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","FACILITIES","Financial Administration","30-39","Classified Permanent"
"Male","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Technicians","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Not Specified","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Asian","Professionals","Professionals","COUNTY LIBRARY DISTRICT","Other","30-39","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","30-39","Classified Permanent"
"Male","Hispanic/Latino","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","White","Professionals","Professionals","DISTRICT ATTORNEY","Financial Administration","30-39","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","60-69","Unclassified Extra Help"
"Male","Asian","Professionals","Officials and Adminstrators","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Probationary"
"Male","Black/African American","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","PLANNING & DEVELOPMENT","Community Development","40-49","Classified Permanent"
"Female","Asian","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","60-69","Unclassified Extra Help"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Unclassified Extra Help"
"Female","Asian","Professionals","Officials and Adminstrators","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Female","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Benefits"
"Female","Hispanic/Latino","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DEPT OF TAX AND COLLECTIONS","Financial Administration","60-69","Classified Permanent"
"Male","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Female","Two or More Races","Service Maintenance","Service Maintenance","SHO - CUSTODY BUREAU","Corrections","30-39","Classified Permanent"
"Female","White","Professionals","Officials and Adminstrators","OFFICE OF SUPPORTIVE HOUSING","Housing","30-39","Classified Permanent"
"Male","Hispanic/Latino","Professionals","Officials and Adminstrators","EMPLOYEE SERVICES AGENCY","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Male","Asian","Technicians","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","60-69","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Unclassified Extra Help"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Two or More Races","Professionals","Officials and Adminstrators","BEHAVIORAL HEALTH SERVICES","Health","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","50-59","Classified Permanent"
"Male","Asian","Professionals","Professionals","SHO - CUSTODY BUREAU","Corrections","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","PUBLIC HEALTH DEPARTMENT","Health","50-59","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Female","Black/African American","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","60-69","Unclassified Extra Help"
"Female","Asian","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Female","Asian","Paraprofessionals","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","White","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Male","Not Specified","Professionals","Professionals","REGISTRAR OF VOTERS","Other","40-49","Classified Permanent"
"Female","Hispanic/Latino","Service Maintenance","Service Maintenance","FACILITIES","Financial Administration","30-39","Classified Permanent"
"Male","White","Skilled Craft Workers","Skilled Craft","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","White","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Protective Service Workers","Protective Services - Sworn","SHO - CUSTODY BUREAU CONTRACT","Corrections","30-39","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","EMPLOYEE SERVICES AGENCY","Financial Administration","60-69","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Officials and Adminstrators","EMPLOYEE SERVICES AGENCY","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Paraprofessionals","Administrative Support","PUBLIC DEFENDER","Financial Administration","30-39","Classified Permanent"
"Male","Asian","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","Hispanic/Latino","Protective Service Workers","Protective Services-Non Sworn","SHERIFF'S OFFICE","Police Protection","30-39","Classified Permanent"
"Male","White","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","60-69","Classified Permanent"
"Male","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","30-39","Classified Permanent"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","CLERK OF THE BOARD","Financial Administration","40-49","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","SOCIAL SERVICES AGENCY","Public Welfare","30-39","Classified Permanent"
"Male","Black/African American","Professionals","Professionals","OFFICE OF SUPPORTIVE HOUSING","Housing","50-59","Classified Permanent"
"Female","White","Administrative Support","Administrative Support","COUNTY LIBRARY DISTRICT","Other","30-39","Unclassified Extra Help"
"Female","Hispanic/Latino","Professionals","Professionals","SOCIAL SERVICES AGENCY","Public Welfare","40-49","Classified Permanent"
"Male","White","Paraprofessionals","Administrative Support","DISTRICT ATTORNEY","Financial Administration","30-39","Classified Permanent"
"Female","Asian","Professionals","Professionals","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Probationary"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","40-49","Classified Permanent"
"Male","Black/African American","Service Maintenance","Service Maintenance","FACILITIES","Financial Administration","40-49","Classified Permanent"
"Female","Asian","Professionals","Professionals","TECHNOLOGY SVCS & SOLUTIONS","Financial Administration","40-49","Classified Permanent"
"Female","Native Hawaiian/Oth Pac Island","Administrative Support","Administrative Support","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","40-49","Classified Permanent"
"Male","Asian","Technicians","Technicians","SANTA CLARA VALLEY HEALTHCARE","Hospitals & Sanatoriums","50-59","Classified Permanent"
"Female","Hispanic/Latino","Administrative Support","Administrative Support","COUNTY COMMUNICATIONS","Police Protection","30-39","Classified Permanent"
"Female","White","Paraprofessionals","Technicians","OFFICE OF THE MEDICAL EXAMINER","Police Protection","30-39","Unclassified Extra Help"
"Female","White","Administrative Support","Administrative Support","COUNTY COMMUNICATIONS","Police Protection","30-39","Classified Permanent"
"Female","Not Specified","Administrative Support","Administrative Support","DISTRICT ATTORNEY","Financial Administration","60-69","Classified Permanent"
"Female","Black/African American","Service Maintenance","Service Maintenance","SHO - CUSTODY BUREAU","Corrections","60-69","Classified Permanent"
